report_date,product_item_id,product,category,campaign_count,source_campaigns,daily_budget_total,spend_mtd_est,spend_30d,conv_value_30d,roas_30d
2026-07-29,ds-2de2c200scg-e(f0),"Camera de supraveghere IP Hikvision PT, Full HD, ColorVu, 2.8mm, LED alb 30m, Microfon si difuzor, MicroSD, PoE, IP66, DS-2DE2C200SCG-E(F0)",camere ip,4,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Top Products last 14 days - Feed Only | Video Views - NO RMKT - NO Product Feed,12200.0,770.76,823.91,4214.91,5.116
2026-07-29,50-815/7016+50-816/7016,"Set porti metalice ranforsate, Jaluzea Suprem, aluminiu, gri antracit, intretinere zero, 50-815/7016+50-816/7016",porti batante,2,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - New - Automatizari Porti,5250.0,766.49,819.35,2.78,0.003
2026-07-29,ptz-n2c400i-w(w),"Camera supraveghere IP Wi-Fi rotativa PT Hikvision HiLook PTZ-N2C400I-W(W), 4MP, IR 30m, Microfon, Difuzor, slot microSD, IP66",camere ip wireless,5,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only | Video Views - NO RMKT - NO Product Feed,12700.0,763.92,816.61,6136.26,7.514
2026-07-29,cs-cb8c/sp (4mp.w4ga),"Camera supraveghere 4G si Wi-Fi EZVIZ CB8 Lite, 4MP, 4mm, AOV 2.0, detectie AI, audio bidirectional, panou solar, IP65, CS-CB8c/SP (4MP.W4GA)",camere ip wireless,3,DGen - Supraveghere | PMax - New - Supraveghere Video | Video Views - NO RMKT - NO Product Feed,11100.0,758.92,811.26,1615.02,1.991
2026-07-29,sinau3m,"Sina U, 3 metri aplicata pentru culisare la sol, SINAU3M",porti culisante,3,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,6350.0,742.98,794.22,3141.15,3.955
2026-07-29,ipc-p3d-3f-pv,"Camera Speed Dome IP Wi-Fi, Dahua IPC-P3D-3F-PV, 3+3MP, Iluminare duala 50m, alarma, audio bidirectional, slot card microSD, rotire si inclinare prin",camere ip wireless,4,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,12600.0,727.07,777.21,4804.56,6.182
2026-07-29,sina 25-230/m,"Sina pentru automatizare poarta de 800kg, lungime 5.8m, Stift Sina 25-230/M",porti culisante,2,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - New - Automatizari Porti,5250.0,713.25,762.44,3185.37,4.178
2026-07-29,ds-2se2c400mwg-e/14(2.8/8mm),"Camera IP Hikvision DS-2SE2C400MWG-E/14(2.8/8mm), 4MP, PTZ, IR si lumina alba 30m, microfon, PoE, slot microSD",camere ip,4,DGen - Supraveghere | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Supraveghere Video | Video Views - NO RMKT - NO Product Feed,14400.0,703.94,752.49,2967.47,3.944
2026-07-29,ipc-p5d-5f-pv-0280b/0600b,"Camera IP cu rotire de pe mobil, PT Wi-Fi Dahua IPC-P5D-5F-PV-0280B/0600B, 5+5MP, Iluminare duala, Alarma, Slot microSD, IP66",camere ip profesionale,3,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55,11500.0,696.25,744.27,2819.71,3.789
2026-07-29,50-827/7016,"Poarta batanta Baldur Virtuoso 50-827/7016, aluminiu, 3500x1800mm, gri antracit",porti culisante,3,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Automatizari Porti,8550.0,683.31,730.43,2203.99,3.017
2026-07-29,ds-2de2c400mwg-e(2.8mm),"Camera IP PT Hikvision DS-2DE2C400MWG-E(2.8mm), 4MP 2K, IR si LED alb 30m, Detectie Umana, Audio, PoE, slot microSD, IP66",camere ip,2,DGen - Supraveghere | PMax - New - Supraveghere Video,11000.0,671.12,717.4,4110.43,5.73
2026-07-29,kitpoarta500,"Kit automatizare poarta autoportanta in consola complet pentru 500 KG, Life KITPOARTA500",GoogleCategoryID 7261,1,PMax - Poor Products - Shopping - LOW ROAS,1100.0,663.13,708.86,6579.75,9.282
2026-07-29,acer1200,Automatizare poarta culisanta 1200Kg LIFE ACER1200,porti culisante,3,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,6350.0,659.93,705.44,6931.77,9.826
2026-07-29,50-890/7016,"Poarta culisanta Jaluzea Virtuoso 50-890/7016, 4000x1800mm, aluminiu, deschidere stanga/dreapta, gri antracit",porti culisante,4,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,9650.0,645.84,690.38,32.91,0.048
2026-07-29,pl 18 ah,"Acumulator pentru sisteme de securitate 12V, 18.5 AH, PL 18 AH",accesorii alarme,2,PMax - Purchase - Accesorii | PMax - Top Products last 14 days - Feed Only,4400.0,644.49,688.94,2018.29,2.93
2026-07-29,ipc-k7cp-3h1we,"Camera de supraveghere wireless Imou Cruiser SE+, 3MP Full Color, Iluminare duala 30m, MicroSD, Audio, IP66, IPC-K7CP-3H1WE",camere ip wireless,3,DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Top Products last 14 days - Feed Only,12100.0,643.94,688.35,3110.4,4.519
2026-07-29,ucg100-12 f11,"Acumulator VRLA 12V, 100Ah Deep Cycle Gel, Ultracell UCG100-12 F11, Terminal F11",accesorii alarme,2,PMax - Purchase - Accesorii | PMax - Top Products last 14 days - Feed Only,4400.0,643.21,687.57,6324.55,9.198
2026-07-29,upol-ol300ep-cg01b,"Ups 3000 VA / 2400 W cu 4 prize, Njoy Echo Pro 3000 UPOL-OL300EP-CG01B, Display LCD",rack si ups,1,PMax - New - Accesorii Supraveghere,3300.0,634.37,678.12,8776.94,12.943
2026-07-29,ipc-s7xfp-8u0wed,"Camera supraveghere IP Wi-Fi 6 PT Imou Cruiser Dual 2 Pro, 4+4MP, 2 lentile, Alarma sonora si optica, slot microSD, IP65, IPC-S7XFP-8U0WED",camere ip wireless,6,DGen - Promo - NO RMKT - tROAS - PUR | DGen - RMKT Only Audiences | DGen - Supraveghere | PMax - New - Supraveghere Video | PMax - Promotii - Full Assets - Male - 25 to 55 | PMax - Top Products last 14 days - Feed Only,13400.0,631.14,674.66,4496.75,6.665
2026-07-29,tapo c610 kit,"Camera supraveghere cu panou solar Tapo C610 KIT, 2K 3MP, Wi-Fi, rotire si inclinare din aplicatie, detectie persoane cu AI, audio bidirectional, alar",camere ip wireless,3,DGen - Supraveghere | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Supraveghere Video,14300.0,629.9,673.34,2903.06,4.311
2026-07-29,cnyg6n,"Cremaliera pentru automatizari culisante, 6 prinderi, capacitate maxima 600kg, plastic, CNYG6N",porti culisante,4,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,9650.0,625.61,668.76,9241.81,13.819
2026-07-29,a800se-1-4g,"Set camera auto fata/spate 70Mai Dash Cam A800SE-1-4G, conexiune 4G, camera fata 4K, slot microSD",camere auto,2,PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - Top Products last 14 days - Feed Only,4400.0,585.09,625.44,1787.94,2.859
2026-07-29,acer600,"Kit automatizare poarta culisanta 600 Kg LIFE Acer, ACER600",porti culisante,4,DGen - Automatizari + ViewThrough Conversions from 01.07.26 | PMax - Catch All - Shopping Only - No  Brand - Low tROAS | PMax - New - Automatizari Porti | PMax - Top Products last 14 days - Feed Only,9650.0,575.23,614.9,7560.54,12.295
